frame,timestep,strain,n_sample
0,0,0.0,1000
1,10000,0.01000000000000008,1000
2,20000,0.02000000000000016,1000
3,30000,0.02999999999999984,1000
4,40000,0.03999999999999992,1000
5,50000,0.05,1000
6,60000,0.06000000000000008,1000
7,70000,0.07000000000000016,1000
8,80000,0.07999999999999984,1000
9,90000,0.08999999999999991,1000
10,100000,0.1,1000
11,105000,0.10500000000000004,1000
12,110000,0.11000000000000008,1000
13,115000,0.11500000000000002,1000
14,120000,0.12000000000000006,1000
15,122000,0.12200000000000001,1000
16,124000,0.12399999999999997,1000
17,126000,0.12600000000000003,1000
18,128000,0.12799999999999997,1000
19,130000,0.12999999999999995,1000
20,132000,0.1320000000000001,1000
21,134000,0.13399999999999995,1000
22,136000,0.1359999999999999,1000
23,138000,0.13800000000000007,1000
24,140000,0.13999999999999993,1000
25,142000,0.14200000000000007,1000
26,144000,0.14400000000000004,1000
27,146000,0.14599999999999988,1000
28,148000,0.14800000000000005,1000
29,150000,0.15,1000
30,152000,0.15199999999999997,1000
31,154000,0.15400000000000003,1000
32,156000,0.15599999999999997,1000
33,158000,0.15799999999999992,1000
34,160000,0.1600000000000001,1000
35,162000,0.16199999999999992,1000
36,164000,0.1640000000000001,1000
37,166000,0.16600000000000004,1000
38,168000,0.1679999999999999,1000
39,170000,0.17000000000000007,1000
40,172000,0.17200000000000001,1000
41,174000,0.17399999999999996,1000
42,176000,0.17600000000000002,1000
43,178000,0.178,1000
44,180000,0.18000000000000005,1000
45,190000,0.18999999999999992,1000
46,200000,0.2,1000
47,210000,0.21000000000000008,1000
48,220000,0.21999999999999997,1000
49,230000,0.23000000000000004,1000
50,240000,0.2399999999999999,1000
51,250000,0.25,1000
